rownames,treatment
BRM014_24h_BT549_R1,BRM014_24h
BRM014_24h_BT549_R2,BRM014_24h
BRM014_24h_BT549_R3,BRM014_24h
BRM014_4h_BT549_R1,BRM014_4h
BRM014_4h_BT549_R2,BRM014_4h
BRM014_4h_BT549_R3,BRM014_4h
DEX_BRM014_24h_BT549_R1,DEX_BRM014_24h
DEX_BRM014_24h_BT549_R2,DEX_BRM014_24h
DEX_BRM014_24h_BT549_R3,DEX_BRM014_24h
DEX_BRM014_4h_BT549_R1,DEX_BRM014_4h
DEX_BRM014_4h_BT549_R2,DEX_BRM014_4h
DEX_BRM014_4h_BT549_R3,DEX_BRM014_4h
DEX_DMSO_24h_BT549_R1,DEX_DMSO_24h
DEX_DMSO_24h_BT549_R2,DEX_DMSO_24h
DEX_DMSO_24h_BT549_R3,DEX_DMSO_24h
DEX_DMSO_4h_BT549_R1,DEX_DMSO_4h
DEX_DMSO_4h_BT549_R2,DEX_DMSO_4h
DEX_DMSO_4h_BT549_R3,DEX_DMSO_4h
DMSO_24h_BT549_R1,DMSO_24h
DMSO_24h_BT549_R2,DMSO_24h
DMSO_24h_BT549_R3,DMSO_24h
DMSO_4h_BT549_R1,DMSO_4h
DMSO_4h_BT549_R2,DMSO_4h
DMSO_4h_BT549_R3,DMSO_4h
siCtl_DEX_BT549_R1,siCtl_DEX
siCtl_DEX_BT549_R2,siCtl_DEX
siCtl_DEX_BT549_R3,siCtl_DEX
siCtl_Veh_BT549_R1,siCtl_Veh
siCtl_Veh_BT549_R2,siCtl_Veh
siCtl_Veh_BT549_R3,siCtl_Veh
siGATA6_DEX_BT549_R1,siGATA6_DEX
siGATA6_DEX_BT549_R2,siGATA6_DEX
siGATA6_DEX_BT549_R3,siGATA6_DEX
siGATA6_Veh_BT549_R1,siGATA6_Veh
siGATA6_Veh_BT549_R2,siGATA6_Veh
siGATA6_Veh_BT549_R3,siGATA6_Veh
